person people
world worlds
apple apples
potato potatoes
bottle bottles
chair chairs
door doors
fork forks
tree trees
pig pigs
cow cows
sheep sheep
cat cats
dog dogs
rabbit rabbits
frog frogs
computer computers
clock clocks
- paper
piece%sof%spaper pieces%sof%spaper
book books
bed beds
kid kids
child children
adult adults
man men
woman women
boy boys
girl girls
baby babies
phone phones
box boxes
wall walls
cupboard cupboards
drink drinks
- food
- chocolate
chocolate%sbar chocolate%sbars
- chips
pizza pizzas
pen pens
pencil pencils
spoon spoons
knife knives
ladder ladders
window windows
school schools
park parks
house houses
home homes
sink sinks
seat seats
boat boats
car cars
train trains
television televisions
TV TVs
desk desks
table tables
teacher teachers
driver drivers
chef chefs
actor actors
actress actresses
policeman policemen
policewoman policewomen
shop shops
restaurant restaurants
building buildings
plant plants
game games
sky skies
cloud clouds
bird birds
duck ducks
pigeon pigeons
elf elves
dragon dragons
dinosaur dinosaurs
fish fish
snake snakes
family families
- music
song songs
music%strack music%stracks
power powers
- literature
economy economies
country countries
government governments
politician politicians
- politics
city cities
town towns
street streets
road roads
van vans
bus busses
area areas
- bread
- ketchup
plate plates
sausage sausages
burger burgers
crumpet crumpets
tea tea
tomato tomatoes
forest forests
lake lakes
river rivers
bridge bridges
lamp lamps
gate gates
path paths
flower flowers
body bodies
fly flies
bug bugs
ant ants
cactus cacti
eukaryote eukaryotes
prokaryote prokaryotes
enzyme enzymes
- cereal
toy toys
video%sgame video%sgames
thing things
- stuff
grape grapes
pear pears
bear bears
panda pandas
lion lions
tiger tigers
hedgehog hedgehogs
fairy fairies
dwarf dwarves
mirror mirrors
diary diaries
calculator calculators
hand%ssanitiser hand%ssanitisers
roll%sof%stoilet%spaper rolls%sof%stoilet%spaper
ruler rulers
rubber rubbers
pencil%ssharpener pencil%ssharpeners
PC PCs
basement basements
dress dresses
shoe shoes
sock socks
- hair
key keys
glass glasses
cup cups
board boards
surfboard surfboards
snowboard snowboards
skiboard skiboards
keyboard keyboards
rat rats
mouse mice
block blocks
Star%sWars%sLimited-Edition%saction%sfigure Star%sWars%sLimited-Edition%saction%sfigures
football footballs
ball balls
basketball basketballs
baseball baseballs
tennis%sball tennis%sballs
ice%scream ice%screams
- ice
Holy%sBible Holy%sBibles
temple temples
monitor monitors
wire wires
rope ropes
string strings
Christian%sMinecraft%sserver Christian%sMinecraft%sservers
owl owls
eagle eagles
seagull seagulls
kitty kitties
kitten kittens
pussy pussies
puppy puppies
bone bones
- meat
heart hearts
race races
jungle jungles
treasure treasures
sword swords
priest priests
star stars
planet planets
plant%spot plant%spots
juggling%sball juggling%sballs
beetle beetles
crab crabs
squid squids
map maps
croissant croissants
brioche brioches
baguette baguettes
bucket buckets
jellyfish jellyfish
eye eyes
eyeball eyeballs
router routers
route routes
kagune kagunes
cello cellos
viola violas
violin violins
